Genus,Full_taxonomy,OSCC_mean,Tobacco_mean,Fold_change,p_value,adjusted_pvalue
Shuttleworthia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Shuttleworthia,1.0,0.0,6.658211482751795,0.5270892568655381,1.0
Megasphaera,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera,8.625,0.0,9.754052367528924,0.5270892568655381,1.0
Subgroup_2,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Subgroup_2;f__Subgroup_2;g__Subgroup_2,0.0,0.0,0.0,1.0,1.0
Mycoplasma,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma,0.5,0.0,5.672425341971495,0.5270892568655381,1.0
uncultured,d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Planctomycetales;f__uncultured;g__uncultured,0.0,0.0,0.0,1.0,1.0
Tannerella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella,0.25,0.8,-1.6394102847435326,0.727009731456113,1.0
Selenomonas,d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Selenomonadaceae;g__Selenomonas,1.125,0.0,6.826548487290915,0.5270892568655381,1.0
Candidatus_Udaeobacter,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Candidatus_Udaeobacter,0.0,0.0,0.0,1.0,1.0
Subdoligranulum,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum,0.0,0.0,0.0,1.0,1.0
Alloprevotella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella,0.875,0.0,6.467605550082998,0.5270892568655381,1.0
Chryseobacterium,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium,0.25,0.0,4.700439718141092,0.5270892568655381,1.0
Clostridium_sensu_stricto_1,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_1,0.0,0.0,0.0,1.0,1.0
Acinetobacter,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,0.375,0.0,5.266786540694901,0.5270892568655381,1.0
uncultured,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__uncultured,0.625,0.0,5.9886846867721655,0.5270892568655381,1.0
Sphingomonas,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas,0.0,0.0,0.0,1.0,1.0
Nitrososphaeraceae,d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae;g__Nitrososphaeraceae,0.5,0.0,5.672425341971495,0.5270892568655381,1.0
Barnesiella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella,0.0,0.0,0.0,1.0,1.0
Enterobacter,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter,1.5,0.0,7.2384047393250786,0.5270892568655381,1.0
uncultured,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis;g__uncultured,0.25,0.0,4.700439718141092,0.5270892568655381,1.0
Faecalibaculum,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum,0.0,0.0,0.0,1.0,1.0
